Scenario,Protocol,Throughput (Mbps),Delay (ms),Jitter (ms),Loss (%)
congested_medium,TcpGemini,1640.30,0.0429,0.0031,0.00
cross_pod_20g,TcpNewReno,20006.21,1.8906,0.0009,0.00
mixed_small_flow,TcpGemini,1638.59,0.0430,0.0031,0.00
cross_dc_wan,TcpCubic,814.03,7.0390,0.0202,0.00
congested_heavy,TcpGemini,619.56,0.1146,0.0061,0.00
mixed_small_flow,TcpBbr,130.45,0.0270,0.0007,0.00
intra_rack_10g,TcpBbr,2.27,0.0051,0.0000,0.00
symmetric_low,TcpCubic,806.75,2.6908,0.0226,0.00
congested_medium,TcpCubic,1719.75,2.2503,0.0106,0.00
congested_medium,TcpBbr,133.43,0.0395,0.0008,0.00
oversub_4to1_10g,TcpNewReno,2169.67,2.1957,0.0084,0.00
oversub_4to1_40g,TcpGemini,9562.15,0.0109,0.0006,0.00
intra_rack_10g,TcpNewReno,9811.36,2.1392,0.0019,0.00
intra_rack_10g,TcpCubic,9811.36,2.2490,0.0019,0.00
symmetric_low,TcpGemini,616.13,0.1150,0.0065,0.00
cross_dc_wan,TcpNewReno,796.79,6.5076,0.0156,0.00
oversub_4to1_40g,TcpCubic,9811.35,2.2515,0.0019,0.00
mixed_small_flow,TcpCubic,1719.75,2.2620,0.0106,0.00
symmetric_low,TcpNewReno,806.67,2.9260,0.0227,0.00
congested_light,TcpNewReno,4704.90,2.0050,0.0039,0.00
intra_rack_10g,TcpGemini,9791.79,0.0107,0.0006,0.00
oversub_4to1_10g,TcpGemini,2149.98,0.0327,0.0025,0.00
cross_dc_wan,TcpGemini,14.55,5.0310,0.0063,0.00
oversub_4to1_10g,TcpBbr,169.66,0.0200,0.0006,0.00
cross_dc_wan,TcpBbr,788.74,9.6644,0.0036,0.00
oversub_4to1_10g,TcpCubic,2170.37,2.1990,0.0084,0.00
congested_light,TcpCubic,4704.89,2.4630,0.0039,0.00
congested_medium,TcpNewReno,1719.04,2.2430,0.0106,0.00
congested_heavy,TcpCubic,818.58,2.6006,0.0223,0.00
cross_pod_20g,TcpGemini,1197.24,0.0607,0.0003,0.00
mixed_small_flow,TcpNewReno,1719.09,2.2426,0.0106,0.00
cross_pod_20g,TcpBbr,605.22,0.0606,0.0000,0.00
oversub_4to1_40g,TcpNewReno,9811.35,2.1404,0.0019,0.00
cross_pod_20g,TcpCubic,20002.65,2.2399,0.0009,0.00
congested_light,TcpBbr,4387.06,0.0141,0.0004,0.00
symmetric_low,TcpBbr,54.13,0.0964,0.0016,0.00
congested_heavy,TcpNewReno,818.17,2.7878,0.0224,0.00
congested_heavy,TcpBbr,57.11,0.0913,0.0015,0.00
congested_light,TcpGemini,4692.93,0.0218,0.0013,0.00
oversub_4to1_40g,TcpBbr,7161.75,0.0101,0.0002,0.00
