Setting,Scenario,Protocol,BottleneckMbps,BaseOwdMs,Flows,SinkPort,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
tcp_only,asymmetric_high,TcpBbr,1000.0,0.012,3,49153/5000,817.0,0.817,0.4203,0.0036,0.0157,0.9997,comparison/asymmetric_high_TcpBbr.flowmonitor
tcp_only,asymmetric_high,TcpCubic,1000.0,0.012,3,49153/5000,839.73,0.8397,0.4682,0.0052,0.0174,0.9963,comparison/asymmetric_high_TcpCubic.flowmonitor
tcp_only,asymmetric_high,TcpNewReno,1000.0,0.012,3,49153/5000,798.6,0.7986,0.4292,0.0019,0.0114,0.9979,comparison/asymmetric_high_TcpNewReno.flowmonitor
tcp_only,asymmetric_high,TcpSwift,1000.0,0.012,3,49153/5000,878.61,0.8786,0.4194,0.0034,0.0167,0.9985,comparison/asymmetric_high_TcpSwift.flowmonitor
tcp_only,congested_heavy,TcpBbr,500.0,0.009,3,49153/5000,429.63,0.8593,0.9892,0.0085,0.0208,0.9888,comparison/congested_heavy_TcpBbr.flowmonitor
tcp_only,congested_heavy,TcpCubic,500.0,0.009,3,49153/5000,430.34,0.8607,1.0058,0.0071,0.0162,0.9937,comparison/congested_heavy_TcpCubic.flowmonitor
tcp_only,congested_heavy,TcpNewReno,500.0,0.009,3,49153/5000,406.84,0.8137,0.8742,0.0093,0.0151,0.9987,comparison/congested_heavy_TcpNewReno.flowmonitor
tcp_only,congested_heavy,TcpSwift,500.0,0.009,3,49153/5000,454.47,0.9089,0.9561,0.0081,0.0149,0.999,comparison/congested_heavy_TcpSwift.flowmonitor
tcp_only,congested_light,TcpBbr,5000.0,0.009,3,49153/5000,4405.18,0.881,0.1013,0.0008,0.022,0.9982,comparison/congested_light_TcpBbr.flowmonitor
tcp_only,congested_light,TcpCubic,5000.0,0.009,3,49153/5000,4432.5,0.8865,0.1032,0.0004,0.019,1.0,comparison/congested_light_TcpCubic.flowmonitor
tcp_only,congested_light,TcpNewReno,5000.0,0.009,3,49153/5000,4287.31,0.8575,0.0992,0.0011,0.0156,0.9985,comparison/congested_light_TcpNewReno.flowmonitor
tcp_only,congested_light,TcpSwift,5000.0,0.009,3,49153/5000,4674.12,0.9348,0.1021,0.0008,0.0194,0.9984,comparison/congested_light_TcpSwift.flowmonitor
tcp_only,congested_medium,TcpBbr,2000.0,0.009,3,49153/5000,1667.05,0.8335,0.2017,0.002,0.0119,0.9984,comparison/congested_medium_TcpBbr.flowmonitor
tcp_only,congested_medium,TcpCubic,2000.0,0.009,3,49153/5000,1721.89,0.8609,0.2382,0.0027,0.0121,0.9998,comparison/congested_medium_TcpCubic.flowmonitor
tcp_only,congested_medium,TcpNewReno,2000.0,0.009,3,49153/5000,1622.57,0.8113,0.2006,0.0008,0.0085,0.9999,comparison/congested_medium_TcpNewReno.flowmonitor
tcp_only,congested_medium,TcpSwift,2000.0,0.009,3,49153/5000,1762.1,0.8811,0.2009,0.0019,0.0108,0.9998,comparison/congested_medium_TcpSwift.flowmonitor
tcp_only,cross_dc_wan,TcpBbr,1000.0,5.02,3,49153/5000,856.12,0.8561,5.2814,0.028,0.0189,0.9996,comparison/cross_dc_wan_TcpBbr.flowmonitor
tcp_only,cross_dc_wan,TcpCubic,1000.0,5.02,3,49153/5000,826.76,0.8268,5.435,0.0459,0.0147,0.996,comparison/cross_dc_wan_TcpCubic.flowmonitor
tcp_only,cross_dc_wan,TcpNewReno,1000.0,5.02,3,49153/5000,823.45,0.8234,5.7355,0.0475,0.0112,0.9947,comparison/cross_dc_wan_TcpNewReno.flowmonitor
tcp_only,cross_dc_wan,TcpSwift,1000.0,5.02,3,49153/5000,874.64,0.8746,5.4327,0.0418,0.0148,0.9999,comparison/cross_dc_wan_TcpSwift.flowmonitor
tcp_only,cross_pod_10g,TcpBbr,10000.0,0.06,3,49153/5000,8865.0,0.8865,0.109,0.0006,0.0175,0.9998,comparison/cross_pod_10g_TcpBbr.flowmonitor
tcp_only,cross_pod_10g,TcpCubic,10000.0,0.06,3,49153/5000,8865.0,0.8865,0.1065,0.0005,0.0223,0.9973,comparison/cross_pod_10g_TcpCubic.flowmonitor
tcp_only,cross_pod_10g,TcpNewReno,10000.0,0.06,3,49153/5000,8518.9,0.8519,0.1057,0.0012,0.0157,0.9997,comparison/cross_pod_10g_TcpNewReno.flowmonitor
tcp_only,cross_pod_10g,TcpSwift,10000.0,0.06,3,49153/5000,9375.52,0.9376,0.1067,0.0006,0.0159,0.9985,comparison/cross_pod_10g_TcpSwift.flowmonitor
tcp_only,cross_pod_20g,TcpBbr,20000.0,0.06,3,49153/5000,17730.0,0.8865,0.0841,0.001,0.0203,0.9982,comparison/cross_pod_20g_TcpBbr.flowmonitor
tcp_only,cross_pod_20g,TcpCubic,20000.0,0.06,3,49153/5000,17730.0,0.8865,0.0839,0.0003,0.0205,0.9997,comparison/cross_pod_20g_TcpCubic.flowmonitor
tcp_only,cross_pod_20g,TcpNewReno,20000.0,0.06,3,49153/5000,17104.84,0.8552,0.086,0.0011,0.0173,0.9996,comparison/cross_pod_20g_TcpNewReno.flowmonitor
tcp_only,cross_pod_20g,TcpSwift,20000.0,0.06,3,49153/5000,18518.03,0.9259,0.0851,0.0011,0.0182,0.9996,comparison/cross_pod_20g_TcpSwift.flowmonitor
tcp_only,dc_100g,TcpBbr,100000.0,0.004,3,49153/5000,85182.71,0.8518,0.0079,0.0,0.0119,0.9981,comparison/dc_100g_TcpBbr.flowmonitor
tcp_only,dc_100g,TcpCubic,100000.0,0.004,3,49153/5000,85660.71,0.8566,0.0081,0.0001,0.0157,0.9995,comparison/dc_100g_TcpCubic.flowmonitor
tcp_only,dc_100g,TcpNewReno,100000.0,0.004,3,49153/5000,82343.44,0.8234,0.0079,0.0001,0.0107,0.9997,comparison/dc_100g_TcpNewReno.flowmonitor
tcp_only,dc_100g,TcpSwift,100000.0,0.004,3,49153/5000,89305.06,0.8931,0.0079,0.0001,0.0117,1.0,comparison/dc_100g_TcpSwift.flowmonitor
tcp_only,dc_100m,TcpBbr,100.0,0.009,3,49153/5000,81.1,0.811,3.8845,0.0348,0.0088,0.9973,comparison/dc_100m_TcpBbr.flowmonitor
tcp_only,dc_100m,TcpCubic,100.0,0.009,3,49153/5000,82.18,0.8218,4.0837,0.0293,0.013,0.9991,comparison/dc_100m_TcpCubic.flowmonitor
tcp_only,dc_100m,TcpNewReno,100.0,0.009,3,49153/5000,80.07,0.8007,3.7952,0.0357,0.0089,0.9996,comparison/dc_100m_TcpNewReno.flowmonitor
tcp_only,dc_100m,TcpSwift,100.0,0.009,3,49153/5000,86.7,0.867,3.9,0.0354,0.0082,0.999,comparison/dc_100m_TcpSwift.flowmonitor
tcp_only,dc_500m,TcpBbr,500.0,0.009,3,49153/5000,435.0,0.87,0.8815,0.0039,0.0148,0.9998,comparison/dc_500m_TcpBbr.flowmonitor
tcp_only,dc_500m,TcpCubic,500.0,0.009,3,49153/5000,428.79,0.8576,0.8516,0.0024,0.0148,0.9999,comparison/dc_500m_TcpCubic.flowmonitor
tcp_only,dc_500m,TcpNewReno,500.0,0.009,3,49153/5000,430.53,0.8611,0.9003,0.006,0.0162,0.9989,comparison/dc_500m_TcpNewReno.flowmonitor
